text,label
[ferrera] has the charisma of a young woman who knows how to hold the screen . ,1
"both flawed and delayed , martin scorcese's gangs of new york still emerges as his most vital work since goodfellas . ",1
"for his first attempt at film noir , spielberg presents a fascinating but flawed look at the near future . ",1
easily one of the best and most exciting movies of the year . ,1
this director's cut -- which adds 51 minutes -- takes a great film and turns it into a mundane soap opera . ,0
another useless recycling of a brutal mid-'70s american sports movie . ,0
"the urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative . ",1
"reign of fire is hardly the most original fantasy film ever made -- beyond road warrior , it owes enormous debts to aliens and every previous dragon drama -- but that barely makes it any less entertaining . ",1
anemic chronicle of money grubbing new yorkers and their serial loveless hook ups . ,0
"due to some script weaknesses and the casting of the director's brother , the film trails off into inconsequentiality . ",0
"if mr . zhang's subject matter is , to some degree at least , quintessentially american , his approach to storytelling might be called iranian . ",1
"at times , however , dogtown and z-boys lapses into an insider's lingo and mindset that the uninitiated may find hard to follow , or care about . ",0
"freundlich's made [crudup] a suburban architect , and a cipher . ",0
"it's all gratuitous before long , as if schwentke were fulfilling a gross-out quota for an anticipated audience demographic instead of shaping the material to fit the story . ",0
"no one can doubt the filmmakers' motives , but the guys still feels counterproductive . ",0
too silly to take seriously . ,0
"una película oscura , precisa , por momentos grandiosa y casi siempre conmovedora . ",1
"though a capable thriller , somewhere along the way k-19 jettisoned some crucial drama . ",1
"84 minutes of rolling musical back beat and supercharged cartoon warfare . it's also , clearly , great fun . ",1
the only fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored . ,0
"worth seeing once , but its charm quickly fades . ",0
spain's greatest star wattage doesn't overcome the tumult of maudlin tragedy . ,0
"this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there . ",1
"a mess , but it's a sincere mess . ",1
less about shakespeare than the spawn of fools who saw quentin tarantino's handful of raucous gangster films and branched out into their own pseudo-witty copycat interpretations . ,0
uneven but a lot of fun . ,1
candid camera on methamphetamines . ,1
a surprisingly sweet and gentle comedy . ,1
