tweet,label
@united UA maintenance issues strike again. Flt#106 delayed due to mechanical issue. Seems to be the norm rather than the exception lately.,0
"With @AirCanada taking away more @ACAltitude benefits, which airline should I switch to in 2015? @AmericanAir? @United? #flyerstalk",1
"@DudePerfect @AmericanAir that's a lot of missing ping pong balls, tennis balls, frisbees, and panda fur.",1
Oh @AmericanAir we promise to try hard not to cheat on u again after today See u Friday &amp; next week! Bring on the #triathlon season #travel,1
@AmericanAir liked to me that I couldn't change my flight and then another said I could. Probably gonna miss my flight cuz of the liar.,0
Merry Christmas! Awaiting our @JetBlue flight from Austin to JFK!! Can't wait to be home #IheartNYC,1
Getting home late so chicago left a light on for me. Photo: @ccmotorcycle / #LUV @SouthwestAir http://t.co/KXAoTrI3En,1
"@DeltaAssist I never received my ""gold"" credentials.",1
Yooo @SouthwestAir my flight from NY to Chicago got cancelled I need help!,0
@AmericanAir we have been sitting on the plane for two hours at the gate waiting for a pilot. And the power ports aren't working,0
"@deltaassist is there anyway to get a call back from customer service? Been on hold for over 25mins, this normal? I dialed the 800-323-2323",0
@chermc56 @AmericanAir ughÃ¢â‚¬Â¦ I hate that! Hope you made it to your destination safely!,0
Dear @JetBlue thank you for providing free wifi and guaranteeing I will never ever read all those @NewYorker magazines I've been hoarding,1
big props to @SouthwestAir for getting my bag on the plane despite my miserable tardiness (25 min before takeoff) for the 2nd time this wk,1
Long line to #rebook #flight @AmericanAir #worst #customerservice stuck in #Miami @AmeriAirSux http://t.co/95SLGTbV7F,0
@AmericanAir 2nd plane...2nd delay... Not sure your business model is working,0
@AlaskaAir hi evry1 there dear #happybluefriday most admires so adorable and pretty miss Minnie very beautiful aircraft sending lots of love,1
Sorry 2 miss #ICMIChat. I'm at @VirginAmerica talking abt #custserv email! @CallCenterICMI. Have a great chat!,1
"Wi-fi available on our @SouthwestAir flight, ho hum. Wait, I can watch @nbcparenthood ?!? #happydance #notissues #unprepared",1
"So @AmericanAir I'm going to need you all to get this baggage thing together. First a lost bag, then a list carousel. Yeah, umm...",0
What the hell is happening on #jfk @cnn no info from @jetblue and hour and a half in newark trapped in a plane #help,0
@AmericanAir Kudos to flight crew of AA1148 waiting to be de-iced for 5 hrs.Very polite/patient especially the flt attendants #dfwsnow,1
Hate how @united can make even first class feel like flying on #Southwest #stopthequeue http://t.co/kfKlFiNevK,1
@AmericanAir so thirsty. Stuck in deserted airport. #sos,0
"@VirginAmerica I just love paying $500 for a flight, being promised free tv and then not being able to plug in headphones cause it's broken",0
@michellevisage @Delta @DeltaAssist I think Michelle may have got her hair stuck in the overhead compartment...?,0
@united just flew UA 48 to Mumbai and left my iPad Air2 in my seat 9K. Is there a lost and found?,1
SO frustrated with @united today. We book how many flights a year?? Today has just been one debacle after another.,0
@kristen  @united this is TERRIBLE!  #BYEKeith #gowithFelicia,0
the hand soap on @AlaskaAir's planes always smell so good to me,1
@SouthwestAir I'm not an A list member and buy Business Select for this.. #disgusting #aviation #flysouthwest http://t.co/kCuvtAPvHa,0
@DeltaAssist this plat medallion is utterly dissapoitned w/the new 3rd party lost&amp;found. Shameful to auction off customers items after 2wk!!,1
Making the best of the delay at the gate. Safety first @united http://t.co/oLrXX0rpxb,1
Sitting by the gate waiting for my flight with @AmericanAir to SNA now delayed an hour. #FridayFlight https://t.co/khu6CYgXnK,0
@SouthwestAir any idea why the internet on your flight today is so bad? it won't even let me go to the southwest website!,0
@united can I request missing miles from a flight a couple years ago?,1
@VirginAmerica - your seat change system sucks !!,0
@VirginAmerica How can a great airline like VA leave flight 404 waiting for 2 hours on EWR Tarmac? Really?,0
: Ã¢â‚¬Å“If your request applies to any of the areas below Ã¢â‚¬Â¦ contact that area for assistance. Your issue will not be forwarded.Ã¢â‚¬ÂÃ¢â‚¬â€@AmericanAir,1
".@deltaassist To make @delta customer service experience complete: u overcharged bc of incompetence, then canceled plane, &amp; now LOST my bags",0
"@AmericanAir Sorry to bother you. But for my reservation GWFKGS, what is my baggage allowance? I'm a AA Platinum. Air Berlin's web-p is bad!",1
@United so sad you caved to @billburton. You were my 1st choice-May have to rethink that!  Viva la Freedom-Je suis Charlie.,0
"Impressed with the new plane swag on my @united 737! Smells new, looks new! :) #unitedairlines ",1
"@SarahBlackwood1 @united that's ridiculous! We used @JetBlue a yr ago, he cried the whole flight. We weren't kicked. I even breastfeed him!",0
"Please I want to fly @VirginAmerica so bad, can you please get me a ticket to fly? #getmeonboard",1
@PSBJ NO to @Delta taking over Alaska Airlines because the best airline would go to #shit @AlaskaAir #AlaskaAir,1
"@JetBlue I had the best flight with you guys from SFO -&gt; JFK. Awesome job! Mad props to the flight attendants, especially Mantana!!",1
Anyone know if @united still issues #wx vouchers for 1Ks? I'm guessing no but #worthashot,0
"@AmericanAir you guys should really offer ""miles booster"" on the mobile app. I never even knew it was an option until I was required to use",0
After 7 hour delay @JetBlue does the right thing!!!! Great display of customer service.Apology email and free flight for everyone,1
Could @united be anymore unhelpful? Stuck in Denver. Hotel voucher is useless. No rooms available. They won't even give us cots.,0
"@SmilingDeDe @JessEstrada @PSBJ @AlaskaAir @JohnLegere Watched them devour and ruin Northwest, don't need to see that again.",1
"""@HEELZiggler: look who showed up at my door, late last nite...smelling like bod spray &amp; regret, @united http://t.co/HOC06aI6xa"" you would.",1
@united Just had the worst experience ever flying with you,0
.@JetBlue it is unkind to not consider a connecting passenger headed to funeral when the prev flight got in w 15min to spare. #disappointed,0
@AmericanAir any news on flight departing from PVD to PHL? I am on flight 4109 us airways an delayed +2 hrs??,0
"What?!RT @RonaVGonzales: It's not ""missing"", it was ""stolen""! RT @AmericanAir: @ronavgonzales Our apologies your baggage is missing, Rona...",0
#somewhereidratherbe anywhere but an @AmericanAir flight. Delayed for the billionth time #neveragain,0
"Mmm...when @SouthwestAir says ""$8 wifi"", they mean ""wifi that's so slow you can barely browse, let alone watch anything"". Disappointed.",0
Never had a female pilot on a @SouthwestAir flight yet... Wondering what the ratio of male to female pilots is...,1
@Little__Time @DeltaAssist That's awful. I'm not flying Delta in the future.,0
@united Watching the snow in Ord from tarmac snd wondering what time flt #8837 ORD to FRA will be departing?,1
@msnbc @JetBlue annnnnnnd what he doesn't realize is he's destroying his customer base.,1
@AmericanAir Are there any known issues with http://t.co/tQ34CJHgTt today? Having all sorts of issues trying to book a flight...,1
@BrianElrod @HEELZiggler @united Plane ride from Hell part 2?,1
.@AmericanAir the six minutes i will miss my connection by as a result of the ground crew forgetting to empty the toilets will be shitty :(,0
My loyalty lies with @JetBlue,1
"@AmericanAir it's 2 and a half weeks, do I need to add a second complaint? Or maybe I should comment on twitter?",1
"@JetBlue traffic made me late but Christopher at the Buffalo airport got me on the next flight. Great customer service, thanks for the help",1
@SouthwestAir lost my sunglasses &amp; case on a flight 3933 last night - is there a lost &amp; found?,1
@AmericanAir Can't wait to grab one of the new amenity kits on my flight to London tonight.,1
Some saint on this @AlaskaAir flight just switched places with me upon seeing my panic at having to share a seat with a 75 lb service wolf.,1
Just had the absolute worst customer experience of all time with @AmericanAir... Worst airline ever. #massivefail,0
"@SouthwestAir *Sadface* looks like you guys no longer go from MHT or BDL to PHL. May have to break my ""I only fly Southwest"" rule :(",1
"oh, @VirginAmerica I need to book a flight to #DallasLove #ShareTheLove today! pretty please extend the promo code I missed yesterday?!?",1
.@United robbed me by downgrading my seats at the gate and refuses to issue a refund.@USDOT http://t.co/PznZDS1xH9,0
"@AmericanAir a complete circus at Vegas airport. Now delayed over an hour on plane due to ""waiting for paperwork"" before taking off.",0
@AmericanAir - s/o to JAL for the bump in class from MNL to NRT. Waiting on my ride home. http://t.co/d8uogupAVK,1
@AmericanAir is there an email address to submit a complaint?,1
Totally insane that @SouthwestAir got $25 out of me for B37 &amp; 38. There should be a limit on EarlyBird tickets. So much for no fees.,0
Score! Plug under my seat! Dang! Plug doesn't work #sigh @AmericanAir,1
@AmericanAir AA1655 has been stuck for 50min already: no gate available in DFW airport. You kidding? What about changing gate?,0
